Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature °C
India,1990,333.7507,4560.8585,15344.5174,126167.9535,5007.9141,2401.0,9715.1767,-227396.9133,0.0,7236.7992,10158.9974,37680.5034,1591.2462,114685.8472,360.3932,3034.6653,48164.8065,10603.0003,45732.0608,30870.2642,0.0,1290.5445,14986.1127,647836752.0,222296728.0,449984059.0,420468106.0,262529.49850000005,-0.03275
India,1991,333.7507,4560.8585,15312.7949,126055.9214,5007.9141,2349.0,10253.5867,-227396.9133,0.0,7952.5135,10738.9005,45130.0459,1511.8802,117586.7131,363.3499,4003.3833,51846.1868,10741.9706,46267.224,31286.5775,0.0,1290.5445,16620.057,659127729.0,228927146.0,459463492.0,429478264.0,281816.25980000006,0.1446666666666666
India,1992,333.7507,4560.8585,15726.8022,123473.532,5007.9141,2363.0,10120.9643,-227396.9133,0.0,8732.2511,10783.3163,50067.301,1595.2251,120068.0728,325.1089,4888.7218,53310.1459,10922.0678,46995.2269,31842.4951,0.0,1290.5445,17383.6296,670596991.0,235424115.0,469046096.0,438527953.0,292394.0153,0.0556666666666666
India,1993,333.7507,4560.8585,16142.4254,125731.6715,5007.9141,2204.0,10263.654,-227396.9133,0.0,9462.3706,7364.2133,57669.3866,1669.8228,121945.2509,325.1089,5720.1318,55489.5834,11002.0918,47349.1349,32013.4897,0.0,1290.5445,18883.4382,682039727.0,242018090.0,478735976.0,447615320.0,307031.9283,0.2258333333333333
India,1994,333.7507,4560.8585,16262.4925,126544.4835,5007.9141,2006.0,10534.4403,-227396.9133,0.0,10234.5431,7982.2834,62307.0251,1830.6291,123869.9941,395.4373,6753.2465,58123.1583,11099.334,47811.4889,32229.2937,0.0,1290.5445,20574.5957,693476126.0,248728123.0,488535405.0,456726553.0,322354.6,0.0954166666666666
India,1995,333.7507,4560.8585,16358.108,126503.104,5023.7664,2051.0,10802.1953,-227396.9133,0.0,10886.0919,8444.5436,71243.5541,1972.6432,126583.292,628.6802,7663.3555,63273.3358,11188.3623,48231.6835,32428.689,0.0,1290.5445,21373.6566,704923971.0,255558824.0,498432465.0,465846665.0,343444.3018000001,0.2989166666666666
India,1996,203.7261,1788.6458,16780.0658,128276.512,5022.4718,2027.0,12702.9874,-227396.9133,0.0,12314.1841,3578.803,71223.1685,2070.188,128355.5873,472.1592,8699.6355,66573.8243,11280.5977,48676.5603,32635.9639,0.0,978.7452,25646.5671,716378887.0,262514330.00000003,508349160.0,474932057.0,351910.4797,0.2779166666666667
India,1997,140.2193,1538.3997,17220.1388,128482.8185,5026.1344,1822.0,13956.5606,-227396.9133,0.0,13626.156,4039.6476,74964.7032,2309.2989,129666.6588,370.0434,9806.8969,71877.2729,11334.765,48951.9505,32738.6752,0.0,720.8438,28242.979,727825980.0,269579338.0,518303618.0,484031612.0,369439.2492,-0.0488333333333333
India,1998,228.6617,1561.6789,17361.5309,132421.2621,5025.4913,1797.0,13848.6247,-227396.9133,0.0,16125.0316,2823.3681,77824.3228,3510.3703,130962.1926,421.0114,10882.1542,86537.8623,11388.7563,49099.4253,32828.0713,0.0,706.7553,27898.0452,739222779.0,276751263.0,528287413.0,493147162.0,395854.703,0.6334166666666666
India,1999,254.2614,3236.4138,17843.7938,133478.5088,5010.6514,1795.0,14399.9548,-227396.9133,0.0,17168.5328,3296.04,73402.195,3907.399,132512.5261,1312.9882,12064.6659,86666.4658,11442.7882,49235.6568,32914.413,0.0,1160.2553,28459.8997,750527571.0,284011643.0,538244360.0,502255693.0,402165.49650000007,0.4666666666666666
